SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"г. Балахна";"Лицо";"Не указано";3067
"г. Балахна";"Лицо";"Кирпич, камень";27338
"г. Балахна";"Лицо";"Панель";12969
"г. Балахна";"Лицо";"Блок";623
"г. Балахна";"Лицо";"Дерево";11832
"г. Балахна";"Лицо";"Смешанный материал";1044
"г. Балахна";"Лицо";"Другой материал";233
"г. Богородск";"Лицо";"Не указано";1213
"г. Богородск";"Лицо";"Кирпич, камень";22011
"г. Богородск";"Лицо";"Панель";2685
"г. Богородск";"Лицо";"Блок";153
"г. Богородск";"Лицо";"Дерево";6208
"г. Богородск";"Лицо";"Смешанный материал";2574
"г. Богородск";"Лицо";"Другой материал";220
"г. Бор";"Лицо";"Не указано";2268
"г. Бор";"Лицо";"Кирпич, камень";31151
"г. Бор";"Лицо";"Панель";11503
"г. Бор";"Лицо";"Блок";156
"г. Бор";"Лицо";"Дерево";9267
"г. Бор";"Лицо";"Смешанный материал";4265
"г. Бор";"Лицо";"Другой материал";1048
"г. Выкса";"Лицо";"Не указано";4069
"г. Выкса";"Лицо";"Кирпич, камень";20116
"г. Выкса";"Лицо";"Панель";24797
"г. Выкса";"Лицо";"Блок";159
"г. Выкса";"Лицо";"Дерево";8833
"г. Выкса";"Лицо";"Смешанный материал";3555
"г. Выкса";"Лицо";"Другой материал";48
"г. Городец";"Лицо";"Не указано";1134
"г. Городец";"Лицо";"Кирпич, камень";15568
"г. Городец";"Лицо";"Панель";3909
"г. Городец";"Лицо";"Блок";1802
"г. Городец";"Лицо";"Дерево";7684
"г. Городец";"Лицо";"Смешанный материал";1635
"г. Городец";"Лицо";"Другой материал";55
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Не указано";8836
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Кирпич, камень";161374
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Панель";87031
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Блок";2053
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Дерево";6162
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Смешанный материал";928
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Другой материал";505
"г. Кстово";"Лицо";"Не указано";1579
"г. Кстово";"Лицо";"Кирпич, камень";41447
"г. Кстово";"Лицо";"Панель";15701
"г. Кстово";"Лицо";"Блок";2024
"г. Кстово";"Лицо";"Дерево";1869
"г. Кстово";"Лицо";"Смешанный материал";2687
"г. Кстово";"Лицо";"Другой материал";565
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Не указано";909
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Кирпич, камень";16355
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Панель";3813
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Блок";443
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Дерево";13743
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Смешанный материал";3625
